index,Life expectancy
0,68.25356385760438
1,70.41032177354032
2,67.53464455229243
3,69.33194281557235
4,70.05086212088429
5,68.6130235102604
6,67.1751848996364
7,70.76978142619635
8,68.6130235102604
9,68.6130235102604
10,68.25356385760438
11,67.89410420494846
12,70.41032177354032
13,71.48870073150829
14,71.48870073150829
15,70.05086212088429
16,69.69140246822838
17,68.6130235102604
18,68.6130235102604
19,71.84816038416432
20,66.81572524698049
21,71.12924107885226
22,70.41032177354032
23,70.05086212088429
24,68.25356385760438
25,70.76978142619635
26,67.1751848996364
27,67.53464455229243
28,70.76978142619635
29,68.6130235102604
30,70.76978142619635
31,66.81572524698049
32,66.81572524698049
33,66.45626559432446
34,66.81572524698049
35,71.48870073150829
36,70.05086212088429
37,71.48870073150829
38,68.25356385760438
39,71.12924107885226
40,67.53464455229243
41,67.89410420494846
42,66.45626559432446
43,70.41032177354032
44,71.84816038416432
45,70.41032177354032
46,71.84816038416432
47,68.25356385760438
48,70.76978142619635
49,70.41032177354032
50,69.69140246822838
51,66.45626559432446
52,71.12924107885226
53,67.1751848996364
54,67.53464455229243
55,68.97248316291632
56,67.53464455229243
57,71.12924107885226
58,66.81572524698049
59,67.53464455229243
60,71.48870073150829
61,68.97248316291632
62,68.97248316291632
63,67.53464455229243
64,69.33194281557235
65,66.45626559432446
66,71.84816038416432
67,70.41032177354032
68,68.25356385760438
69,70.05086212088429
70,67.1751848996364
71,69.69140246822838
72,71.84816038416432
73,71.48870073150829
74,71.84816038416432
75,70.41032177354032
76,70.05086212088429
77,70.05086212088429
78,70.76978142619635
79,68.6130235102604
80,66.45626559432446
81,68.97248316291632
82,71.12924107885226
83,70.41032177354032
84,67.89410420494846
85,66.81572524698049
86,70.76978142619635
87,68.97248316291632
88,70.76978142619635
89,71.12924107885226
90,68.6130235102604
91,66.81572524698049
92,69.33194281557235
93,71.48870073150829
94,68.25356385760438
95,70.76978142619635
96,67.89410420494846
97,67.53464455229243
98,70.41032177354032
99,68.6130235102604
100,66.45626559432446
101,71.12924107885226
102,69.33194281557235
103,68.97248316291632
104,70.05086212088429
105,71.12924107885226
106,67.89410420494846
107,67.53464455229243
108,69.69140246822838
109,69.33194281557235
110,68.25356385760438
111,71.12924107885226
112,71.12924107885226
113,66.81572524698049
114,67.53464455229243
115,71.48870073150829
116,69.69140246822838
117,71.12924107885226
118,71.12924107885226
119,71.84816038416432
120,68.6130235102604
121,71.48870073150829
122,71.84816038416432
123,71.12924107885226
124,70.76978142619635
125,67.89410420494846
126,71.12924107885226
127,66.81572524698049
128,68.97248316291632
129,67.1751848996364
130,67.1751848996364
131,70.41032177354032
132,68.97248316291632
133,68.6130235102604
134,70.05086212088429
135,67.89410420494846
136,66.45626559432446
137,68.6130235102604
138,66.45626559432446
139,70.05086212088429
140,71.12924107885226
141,71.84816038416432
142,67.53464455229243
143,66.81572524698049
144,69.33194281557235
145,68.25356385760438
146,67.1751848996364
147,71.84816038416432
148,67.53464455229243
149,69.33194281557235
150,70.05086212088429
151,67.89410420494846
152,66.81572524698049
153,68.6130235102604
154,66.81572524698049
155,68.6130235102604
156,67.89410420494846
157,68.25356385760438
158,71.84816038416432
159,71.48870073150829
160,67.53464455229243
161,66.81572524698049
162,71.48870073150829
163,67.53464455229243
164,68.97248316291632
165,70.76978142619635
166,71.12924107885226
167,66.45626559432446
168,69.33194281557235
169,69.33194281557235
170,70.05086212088429
171,68.97248316291632
172,69.33194281557235
173,70.05086212088429
174,68.6130235102604
175,67.1751848996364
176,69.69140246822838
177,66.45626559432446
178,66.45626559432446
179,66.81572524698049
180,69.33194281557235
181,70.76978142619635
182,69.33194281557235
183,69.69140246822838
184,67.1751848996364
185,71.12924107885226
186,70.41032177354032
187,70.41032177354032
188,67.53464455229243
189,68.25356385760438
190,68.25356385760438
191,70.05086212088429
192,67.1751848996364
193,70.05086212088429
194,71.12924107885226
195,68.6130235102604
196,71.84816038416432
197,68.25356385760438
198,69.69140246822838
199,66.45626559432446
200,70.76978142619635
201,70.05086212088429
202,66.45626559432446
203,68.25356385760438
204,70.76978142619635
205,67.53464455229243
206,67.1751848996364
207,68.25356385760438
208,70.41032177354032
209,68.97248316291632
210,70.76978142619635
211,70.05086212088429
212,70.41032177354032
213,66.45626559432446
214,69.33194281557235
215,71.84816038416432
216,71.48870073150829
217,70.05086212088429
218,71.84816038416432
219,71.12924107885226
220,67.1751848996364
221,68.97248316291632
222,70.05086212088429
223,70.41032177354032
224,68.25356385760438
225,68.97248316291632
226,68.25356385760438
227,66.81572524698049
228,66.81572524698049
229,71.48870073150829
230,71.12924107885226
231,71.48870073150829
232,71.84816038416432
233,70.41032177354032
234,70.41032177354032
235,70.76978142619635
236,66.81572524698049
237,70.41032177354032
238,68.6130235102604
239,67.53464455229243
240,70.76978142619635
241,70.05086212088429
242,71.48870073150829
243,69.33194281557235
244,71.12924107885226
245,66.81572524698049
246,71.48870073150829
247,70.05086212088429
248,67.1751848996364
249,71.48870073150829
250,67.89410420494846
251,71.84816038416432
252,71.84816038416432
253,70.41032177354032
254,66.81572524698049
255,68.6130235102604
256,71.12924107885226
257,68.25356385760438
258,70.05086212088429
259,67.53464455229243
260,69.33194281557235
261,68.97248316291632
262,68.6130235102604
263,70.05086212088429
264,69.33194281557235
265,71.48870073150829
266,66.45626559432446
267,69.33194281557235
268,70.76978142619635
269,71.12924107885226
270,70.76978142619635
271,68.25356385760438
272,66.81572524698049
273,69.33194281557235
274,68.25356385760438
275,70.76978142619635
276,71.48870073150829
277,66.45626559432446
278,70.76978142619635
279,67.53464455229243
280,67.53464455229243
281,69.69140246822838
282,66.81572524698049
283,71.84816038416432
284,71.48870073150829
285,66.45626559432446
286,67.89410420494846
287,70.76978142619635
288,71.84816038416432
289,70.05086212088429
290,69.33194281557235
291,70.76978142619635
292,66.81572524698049
293,71.48870073150829
294,69.69140246822838
295,69.33194281557235
296,71.48870073150829
297,68.6130235102604
298,67.1751848996364
299,67.1751848996364
300,66.81572524698049
301,67.89410420494846
302,67.53464455229243
303,66.81572524698049
304,71.84816038416432
305,68.97248316291632
306,68.6130235102604
307,67.1751848996364
308,66.81572524698049
309,71.12924107885226
310,69.33194281557235
311,70.05086212088429
312,68.6130235102604
313,69.33194281557235
314,71.84816038416432
315,71.12924107885226
316,70.05086212088429
317,70.76978142619635
318,71.84816038416432
319,71.48870073150829
320,70.41032177354032
321,67.89410420494846
322,68.97248316291632
323,66.81572524698049
324,70.76978142619635
325,67.1751848996364
326,66.45626559432446
327,71.12924107885226
328,67.53464455229243
329,71.48870073150829
330,68.6130235102604
331,71.48870073150829
332,66.45626559432446
333,67.1751848996364
334,69.69140246822838
335,71.84816038416432
336,67.89410420494846
337,71.84816038416432
338,66.45626559432446
339,68.97248316291632
340,71.48870073150829
341,70.76978142619635
342,69.69140246822838
343,70.41032177354032
344,66.81572524698049
345,66.45626559432446
346,71.12924107885226
347,69.33194281557235
348,68.25356385760438
